Category1,Category2,Category3,Value1,Value2
D,A,C,90.98339201785372,44.74566078827594
D,D,D,48.68351658751922,60.520440089777914
D,A,D,23.48571602006308,1.6507293002799346
A,D,A,9.865848233879879,88.33461862941697
A,B,C,31.47895035306028,28.533180828070915
D,B,B,41.80817675382567,63.234907129386926
C,C,C,16.41603636781661,82.19201773926613
C,C,A,2.045026049086019,21.556122495554096
D,A,A,52.80830780210047,19.299158749560718
D,A,B,76.07105142583475,6.4513298621357285
C,D,A,14.49374500695323,35.55296348508733
A,D,A,29.389462601025375,15.392067205377659
A,C,B,53.9747899161532,4.210777081792484
D,C,B,69.08922641192936,58.231178827311304
C,D,D,49.7012337576508,60.725260924888495
A,A,A,75.79179738633066,33.7799976923919
D,D,B,30.66144128072356,9.682565762505716
B,A,D,76.82105114022713,11.779876927127948
D,D,A,79.99851284920676,99.37978288267993
B,B,B,60.10337147034946,16.972187515623553
D,B,A,79.87997100289597,29.153673935665825
C,A,D,55.273007377913174,66.4315365065623
C,A,C,19.66852695317455,70.28483478651887
C,A,A,88.33404478054405,57.65597625034638
C,C,A,44.27353027522903,56.65554254922648
B,C,A,25.73971565934777,96.6630331209186
D,D,A,71.77886031549176,75.18414609370875
C,C,B,64.95308912979516,36.658676111821094
A,D,C,83.0142587084878,4.5481642202995864
A,D,A,22.838650197051813,77.08268631719167
A,D,B,8.841763584328431,32.959363233211434
D,A,C,62.90697841135129,89.85544784750786
A,B,D,52.14439612395533,82.20620948597043
A,C,D,80.19594796065603,76.08575679589107
B,D,D,61.70840576998828,84.48765337837217
D,B,D,69.69853132053754,7.427660785544198
D,D,D,27.91464655237651,47.610867577195414
A,A,C,65.19724705479861,13.080299770588605
D,D,A,53.66248233670037,86.08138616507824
B,C,D,27.613380461018412,33.59164416922793
B,B,A,19.612061951270107,41.96203301802259
C,A,A,7.777931318121477,21.774691558533313
B,D,A,14.525779259725912,21.696047049711048
C,C,A,11.925278701278403,6.760274140692651
A,C,A,46.078958251738634,57.56534047605933
C,A,C,45.82395602718948,97.95564462444842
C,C,A,70.34678719678985,53.36571568795843
A,C,C,49.70760538869466,109.679304382820687
C,C,C,32.743728592396856,72.6833396492658
B,C,A,16.062781206619544,60.87302408706602
A,D,C,97.00190554530995,79.03029954166387
D,A,D,3.1909576759325025,70.973758469757
C,B,D,97.26092789415326,43.278306903508415
B,B,D,28.929339220004657,84.9319990153042
D,C,A,13.378881080481396,26.706343889338754
A,D,D,44.40324690925777,57.93912621220505
A,C,B,1.8122048456090631,62.701170519228874
A,C,B,9.92950133172933,92.78343144686222
B,D,B,2.4577598412660926,61.81470810399055
D,A,D,22.501620433102342,50.14329561927075
A,B,C,42.60405968760022,73.18928965593803
